stock,price_close_t,price_close_t1,change_percentage,standard_deviation,news_expaining_price_change,score,news_type_id,news_date,,
MRVL,,,,,,,,,,
SNDK,,,,,,,,,,
DEO,,,,,,,,,,
ARG,,,,,,,,,,
ENS,,,,,,,,,,
KORS,,,,,,,,,,
DECK,,,,,,,,,,
ESRX,,,,,,,,,,
CAKE,,,,,,,,,,
GNRC,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,," 
"
